Date,Avg Temperature (°C),Avg Humidity (%),Total Precipitation (mm)
2021-12-26,5.0,73.0,0.3
2022-01-02,5.0,86.28571428571429,7.9
2022-01-09,4.742857142857143,78.71428571428571,1.0
2022-01-16,-0.7285714285714286,72.28571428571429,12.9
2022-01-23,-1.842857142857143,64.28571428571429,12.0
2022-01-30,-3.871428571428571,71.28571428571429,3.4
2022-02-06,0.4714285714285714,69.57142857142857,6.4
2022-02-13,3.4714285714285715,68.28571428571429,3.8000000000000003
2022-02-20,4.828571428571428,69.14285714285714,1.6
2022-02-27,3.7857142857142856,69.28571428571429,18.2
2022-03-06,0.18571428571428572,68.14285714285714,8.2
2022-03-13,-1.6857142857142857,61.0,6.7
2022-03-20,1.3142857142857143,55.57142857142857,4.6
2022-03-27,5.871428571428572,46.0,0.0
2022-04-03,10.585714285714285,60.57142857142857,4.8
2022-04-10,9.442857142857141,62.42857142857143,22.900000000000002
2022-04-17,9.4,55.285714285714285,11.2
2022-04-24,8.014285714285714,70.42857142857143,18.7
2022-05-01,13.785714285714286,61.142857142857146,1.3
2022-05-08,12.314285714285715,59.0,8.100000000000001
2022-05-15,17.54285714285714,49.0,3.5
2022-05-22,17.342857142857145,50.285714285714285,8.4
2022-05-29,19.571428571428573,63.57142857142857,21.4
2022-06-05,21.414285714285715,59.0,0.7
2022-06-12,18.471428571428568,73.14285714285714,62.1
2022-06-19,18.52857142857143,67.85714285714286,14.8
2022-06-26,20.671428571428574,67.14285714285714,27.5
2022-07-03,22.557142857142857,62.0,1.0
2022-07-10,20.485714285714288,65.28571428571429,11.7
2022-07-17,20.157142857142855,50.142857142857146,0.0
2022-07-24,23.82857142857143,43.714285714285715,0.0
2022-07-31,24.12857142857143,56.0,3.8
2022-08-07,23.214285714285715,49.142857142857146,0.4
2022-08-14,21.24285714285714,62.714285714285715,27.9
2022-08-21,22.285714285714285,63.714285714285715,6.5
2022-08-28,21.428571428571427,63.714285714285715,25.2
2022-09-04,20.0,71.28571428571429,42.9
2022-09-11,19.071428571428573,65.85714285714286,14.2
2022-09-18,18.2,60.857142857142854,5.3
2022-09-25,11.442857142857141,59.142857142857146,1.1
2022-10-02,17.071428571428573,67.42857142857143,42.300000000000004
2022-10-09,12.557142857142859,62.285714285714285,1.8
2022-10-16,12.557142857142859,71.85714285714286,7.2
2022-10-23,11.342857142857143,62.714285714285715,0.0
2022-10-30,14.028571428571428,60.142857142857146,0.0
2022-11-06,13.485714285714286,64.42857142857143,1.5
2022-11-13,9.585714285714285,79.71428571428571,3.5
2022-11-20,9.671428571428573,82.0,28.9
2022-11-27,5.057142857142857,79.71428571428571,13.5
2022-12-04,3.1,85.14285714285714,8.1
2022-12-11,5.814285714285715,88.14285714285714,13.4
2022-12-18,3.8428571428571425,84.57142857142857,27.2
2022-12-25,1.9714285714285715,73.0,3.2
2023-01-01,5.071428571428571,77.57142857142857,1.1
2023-01-08,4.6571428571428575,78.28571428571429,0.0
2023-01-15,2.3857142857142857,87.14285714285714,17.400000000000002
2023-01-22,6.457142857142857,80.28571428571429,43.699999999999996
2023-01-29,1.6142857142857143,79.14285714285714,10.5
2023-02-05,0.1714285714285714,68.42857142857143,8.0
2023-02-12,-3.142857142857143,58.57142857142857,0.5
2023-02-19,3.6142857142857143,65.28571428571429,0.0
2023-02-26,8.1,65.71428571428571,0.4
2023-03-05,5.585714285714286,81.57142857142857,9.5
2023-03-12,7.357142857142857,65.71428571428571,11.5
2023-03-19,4.242857142857143,61.42857142857143,4.2
2023-03-26,10.057142857142859,64.57142857142857,21.0
2023-04-02,7.242857142857143,59.0,11.8
2023-04-09,4.928571428571429,71.0,38.2
2023-04-16,9.528571428571428,64.42857142857143,9.7
2023-04-23,10.071428571428571,74.85714285714286,17.5
2023-04-30,10.12857142857143,66.14285714285714,14.0
2023-05-07,12.471428571428572,69.28571428571429,19.0
2023-05-14,11.157142857142857,74.85714285714286,40.6
2023-05-21,14.114285714285714,78.85714285714286,21.400000000000002
2023-05-28,15.857142857142858,69.85714285714286,39.099999999999994
2023-06-04,17.02857142857143,74.0,14.7
2023-06-11,18.014285714285712,68.0,5.3
2023-06-18,17.571428571428573,81.14285714285714,100.1
2023-06-25,21.042857142857144,69.28571428571429,12.4
2023-07-02,19.357142857142858,70.14285714285714,15.7
2023-07-09,21.157142857142855,70.0,12.5
2023-07-16,25.271428571428572,58.714285714285715,0.0
2023-07-23,26.38571428571429,53.142857142857146,0.2
2023-07-30,24.47142857142857,46.857142857142854,1.0
2023-08-06,25.37142857142857,54.285714285714285,12.200000000000001
2023-08-13,19.457142857142856,62.0,12.1
2023-08-20,23.857142857142858,55.714285714285715,26.9
2023-08-27,26.114285714285717,51.42857142857143,1.3
2023-09-03,22.314285714285713,56.0,9.8
2023-09-10,18.885714285714283,63.0,14.7
2023-09-17,20.014285714285712,63.0,13.4
2023-09-24,20.385714285714283,68.14285714285714,7.2
2023-10-01,18.342857142857145,55.142857142857146,0.0
2023-10-08,16.3,58.285714285714285,0.0
2023-10-15,16.12857142857143,57.0,0.6
2023-10-22,13.1,65.57142857142857,8.399999999999999
2023-10-29,17.042857142857144,63.714285714285715,6.1
2023-11-05,12.799999999999999,74.0,45.5
2023-11-12,9.299999999999999,75.71428571428571,17.8
