number,water_body_directorate,dam_name,total_volume,dead_volume,available_volume,available_volume_percent,available_useful_volume,available_useful_volume_percent,water_intake,water_drain
1,БДДР,Искър,655.252,87.2,489.198,74.66,401.998,70.77,2.509,5.526
2,БДДР,Бели Искър,15.08,1.4,6.82,45.23,5.42,39.62,1.128,0.952
3,БДДР,Среченска бара,15.5,1.0,10.08,65.03,9.08,62.62,0.139,0.602
4,БДДР,Христо Смирненски,27.7,4.2,22.774,82.22,18.574,79.04,0.03,0.321
5,БДДР,Йовковци,92.179,9.0,61.458,66.67,52.458,63.07,0.039,0.788
6,БДЧР,Тича,311.8,40.0,139.408,44.71,99.408,36.57,0.041,1.614
7,БДЧР,Камчия,233.55,76.0,104.327,44.67,28.327,17.98,0.009,2.289
8,БДЧР,Ясна поляна,32.32,7.55,11.893,36.8,4.343,17.53,0.012,0.139
9,БДИБР,Асеновец,28.2,2.0,11.467,40.66,9.467,36.13,0.012,0.382
10,БДИБР,Боровица,27.3,4.6,24.068,88.16,19.468,85.76,0.09,0.264
11,БДЗБР,Студена,25.2,2.4,15.644,62.08,13.244,58.09,0.288,0.769
12,БДЗБР,Дяково,35.4,8.0,24.244,68.49,16.244,59.28,0.0,0.344
13,БДЗБР,Калин - за рез.водоснабдяване,1.024,0.1,0.429,41.91,0.329,35.63,,
14,БДЗБР,Карагьол  - за рез.водоснабдяване,2.252,0.2,1.103,49.0,0.903,44.03,,
15,БДДР,Огняново  - за рез.водоснабдяване **,31.6,2.5,14.948,47.3,12.448,42.78,0.11,0.26
16,БДЧР,Порой,45.2,2.0,1.745,3.86,0.0,0.0,0.127,0.0
17,БДЧР,Ахелой,12.35,0.8,3.234,26.19,2.434,21.07,0.012,0.0
18,БДДР,Панчарево,6.465,1.5,5.435,84.06,3.935,79.25,2.403,3.111
19,БДДР,Ястребино,62.3,3.9,21.482,34.48,17.582,30.11,0.046,0.093
20,БДДР,Кула,20.25,0.7,8.749,43.2,8.049,41.17,0.0,0.035
21,БДДР,Рабиша,43.2,2.4,11.766,27.24,9.366,22.96,0.0,0.035
22,БДДР,Огоста,506.0,67.0,170.236,33.64,103.236,23.52,0.058,4.259
23,БДДР,Сопот,60.908,1.3,31.825,52.25,30.525,51.21,0.301,0.301
24,БДДР,Горни Дъбник,130.0,3.0,28.462,21.89,25.462,20.05,0.023,0.891
25,БДДР,Бели Лом,25.5,3.2,7.564,29.66,4.364,19.57,0.023,0.058
26,БДЧР,Съединение,12.81,1.5,6.874,53.66,5.374,47.52,0.035,0.069
27,БДЧР,Георги Трайков (Цонево),330.0,21.0,101.558,30.78,80.558,26.07,1.25,1.25
28,БДИБР,Жребчево,400.0,30.0,103.728,25.93,73.728,19.93,1.738,1.738
29,БДИБР,Малко Шарково,45.0,3.9,20.214,44.92,16.314,39.69,0.012,0.104
30,БДИБР,Домлян,26.074,0.7,2.091,8.02,1.391,5.48,0.01,0.01
31,БДИБР,Пясъчник,206.53,3.4,13.076,6.33,9.676,4.76,0.118,0.059
32,БДИБР,Тополница,137.108,20.0,21.027,15.34,1.027,0.88,0.208,0.394
33,БДИБР,Тракиец,114.0,24.0,51.002,44.74,27.002,30.0,0.0,0.185
34,БДЗБР,Пчелина,54.2,34.2,53.9,99.45,19.7,98.5,3.438,3.438
35,БДДР,Александър Стамболийски,205.569,20.0,109.585,53.31,89.585,48.28,1.042,1.042
36,БДДР,Кокаляне,,,,,,,,
37,БДИБР,Копринка,142.214,5.41,14.864,10.45,9.454,6.91,1.309,1.056
,БДИБР,Белмекен-Чаира,149.536,5.179,65.541,43.83,60.362,41.81,0.201,5.061
38,БДИБР,Белмекен,144.036,3.81,62.267,43.23,58.457,41.69,,
39,БДИБР,Чаира,5.5,1.369,3.274,59.53,1.905,46.11,,
,БДИБР,Баташки водносилов път,,,,,,,,
,БДИБР,Голям Беглик-Широка поляна,86.091,7.242,25.207,29.28,17.965,22.78,0.346,0.346
40,БДИБР,Голям Беглик,62.111,3.942,21.592,34.76,17.65,30.34,,
41,БДИБР,Широка поляна,23.98,3.3,3.615,15.08,0.315,1.52,,
42,БДИБР,Беглика,1.554,0.242,0.765,49.26,0.523,39.9,0.034,0.009
43,БДИБР,Тошков Чарк,1.782,0.276,1.197,67.16,0.921,61.14,0.238,0.009
44,БДИБР,Батак,310.298,19.95,160.754,51.81,140.804,48.49,0.556,1.527
,БДИБР,Каскада Доспат-Въча,,,,,,,,
45,БДЗБР,Доспат,449.249,14.907,351.406,78.22,336.499,77.47,3.431,1.061
46,БДИБР,Цанков камък,110.708,31.2,75.295,68.01,44.095,55.46,1.354,2.454
47,БДИБР,Въча,226.12,24.52,133.873,59.2,109.353,54.24,3.89,16.778
48,БДИБР,Кричим,20.256,1.73,19.901,98.25,18.171,98.08,16.767,10.353
,БДИБР,Каскада Арда,,,,,,,,
49,БДИБР,Кърджали,497.236,107.176,291.043,58.53,183.867,47.14,1.108,2.384
50,БДИБР,Студен кладенец,387.772,90.667,226.675,58.46,136.008,45.78,0.682,9.597
51,БДИБР,Ивайловград,156.702,59.526,94.167,60.09,34.641,35.65,7.705,0.219
52,БДИБР,Розов кладенец,20.4,13.268,18.204,89.24,4.936,69.21,,
